Year,Institute_ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
2022,IR-E-C-19754,SR University,Warangal,Telangana,40.69,91.0,65.51,13.28,47.9,62.23,12.59
2022,IR-E-U-0078,Panjab University,Chandigarh,Chandigarh,40.58,92.0,40.82,45.4,44.4,46.52,11.78
2022,IR-E-U-0516,Indian Institute of Information Technology Allahabad,Prayagraj (Allahabad),Uttar Pradesh,40.53,93.0,42.53,18.48,73.99,51.68,22.57
2022,IR-E-U-0522,Jaypee Institute of Information Technology,Noida,Uttar Pradesh,40.5,94.0,51.63,25.12,59.96,48.68,6.07
2022,IR-E-C-16626,Rajalakshmi Engineering College,Chennai,Tamil Nadu,40.47,95.0,65.03,9.2,59.85,59.19,3.14
2022,IR-E-U-0163,The Northcap University,Gurugram,Haryana,40.33,96.0,64.69,14.58,54.88,51.64,4.14
2022,IR-E-C-1297,Siddaganga Institute of Technology,Tumkur,Karnataka,40.24,97.0,61.65,14.04,55.39,51.19,13.39
2022,IR-E-C-30045,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,40.19,98.0,63.65,5.33,59.35,63.98,12.19
2022,IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,40.16,99.0,61.64,21.12,46.96,56.3,3.14
2022,IR-E-U-0733,PES University,Bengaluru,Karnataka,40.14,100.0,56.27,14.94,63.79,51.02,9.24
2022,IR-E-U-0201,Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,40.08,101.0,61.82,24.29,48.14,44.01,2.12
2022,IR-E-U-0011,Gandhi Institute of Technology and Management ,Visakhapatnam,Andhra Pradesh,39.92,102.0,51.11,21.08,63.88,49.81,5.12
2022,IR-E-U-0445,B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,39.92,102.0,62.27,21.2,49.0,46.66,4.14
2022,IR-E-C-36969,Coimbatore Institute of Technology,Coimbatore,Tamil Nadu,39.83,104.0,63.02,11.43,49.68,49.28,26.21
2022,IR-E-U-0169,Manav Rachna International Institute of Research & Studies,Faridabad,Haryana,39.66,105.0,59.69,9.37,60.8,57.32,10.53
